fulfillment_id,order_id,fulfillment_date,fulfillment_method,shipping_carrier,tracking_number,estimated_delivery_date,actual_delivery_date
2bdd848e-6f7d-40cc-8495-cdb64eb47657,8724b99a-5ebc-4d15-a492-b92d8c63fb5c,2024-09-26 01:47:08,ship to home,"Martin, Duke and Sosa",8500cefd-0dbe-468a-b03b-0e63ad6ef2ad,2024-10-12,2024-10-24
609ebe99-78f6-4b43-9fab-3d341b6c0331,d3fcb675-8449-4018-b5e9-80d1c809adb0,2024-10-09 20:32:29,usps,Johnson Group,ba203b6c-e53e-4cfd-98fd-ba624d22f725,2024-10-11,2024-10-12
2dd692dd-c463-4418-9756-ef7d9b84baf0,98a2c108-a0db-4057-aa52-83679bfef69a,2024-10-10 10:23:54,fedex,"Hernandez, Lester and Thomas",16d7e171-1f24-468e-8636-51414c546f2a,2024-10-29,2024-11-03
74c701e4-f1c1-4809-8fef-5361034e7cb4,5150edde-6a0f-4b0e-8443-3e542d8ed3bd,2024-09-27 11:03:08,fedex,Lopez-Arias,e299e720-9694-40c4-90e1-1bb1f666480f,2024-10-24,2024-10-25
508c80ac-1419-4b3e-a00e-e5b262ed5204,93f0eb01-cf6b-4de6-b748-6caa34f764bb,2024-09-11 00:52:41,fedex,"Bell, Padilla and Carlson",0d33d7e7-dd16-4c82-a15c-523b632bdba1,2024-10-23,2024-10-29
fdbd4b97-4cb0-48f6-8997-e6516486df4f,75b48806-552c-455c-ad74-71348e5d8af8,2024-09-18 18:28:30,fedex,Farrell-Flowers,351e90ca-32d6-4f02-918c-7032e09cf3f9,2024-10-26,2024-11-05
1aaa6d41-c2f5-49af-813f-d0e06032ef42,41124f26-a0db-4fcc-9d88-5cea764526bd,2024-09-13 05:23:12,fedex,"Chapman, Owens and Willis",1c282200-aa65-4259-a7cd-2c9eb3e33e87,2024-10-12,2024-10-13
97e75fa0-beda-4b98-be65-91d5aa61e0c3,60d5e248-2dee-4f3c-a2f7-951aa358b0e1,2024-09-29 14:25:46,ups,"Roberts, Luna and Smith",feef7a36-e721-424b-8a2d-a178598a3c8f,2024-11-02,2024-10-11
b9fd2535-b65c-4ad3-9b5c-209ef42892d8,455693e8-4ecf-4d5b-b26f-555938beca75,2024-09-22 08:41:14,fedex,"Ferrell, Faulkner and Reid",d7abc192-7ac4-4609-a428-2c9dd4da957a,2024-10-16,2024-10-13
1b8c8b47-9a69-4007-94aa-6a8c7845d8db,d53405e2-6815-4e1a-8c75-3127403e7670,2024-09-30 05:47:27,fedex,"Berry, Meyer and Young",e5b3dc5b-7032-4cd3-a992-10dc0c2ec2cb,2024-10-28,2024-10-17
4d1aaacd-e6f1-4010-b728-b6c497465fe5,d7fbb380-fe7c-4632-a370-9db5630846e7,2024-09-30 23:07:58,fedex,Ross-Alexander,368e6f8e-2d40-44ba-96d1-458bff98d643,2024-10-23,2024-10-19
b7c65320-aa57-4393-9494-aa72aeccbbc7,fe5e2f2e-be92-4e6f-a2c8-ba088e03100d,2024-09-17 08:34:06,usps,Andersen-Bruce,6f572d89-6d09-4274-a9ed-9789d2f063cc,2024-10-20,2024-11-02
f3a32ebc-1404-46f7-8968-8d594b3cae29,e49b364a-7872-4587-9217-2cd01fd12a88,2024-09-19 23:51:53,ups,Nixon-Murphy,354e6af9-f6fc-43b2-b3a9-37fafa7f3774,2024-10-13,2024-10-27
85b29440-ff76-44c8-9d1e-be109bf1fa6c,2564d12f-c79a-4a65-9c33-e9c3df87f181,2024-10-08 04:26:56,usps,"Johnson, Smith and Owens",5b5f4d42-db3c-4dc4-a94e-3aee8acabd9f,2024-11-02,2024-10-23
57634666-47e1-40da-8458-95fa24e1e0bc,adcabf50-8b0a-4c9f-b137-2d1bbe70505f,2024-10-07 00:58:18,in-store pickup,"Maxwell, Young and Burke",2c7cb856-d219-4043-b3e6-b96556e48156,2024-10-24,2024-11-04
f7231e77-b6c4-401e-837a-4c85c7e162e6,1258d9e1-a6d0-4d68-a222-9772cb8b3e3c,2024-10-07 04:10:24,in-store pickup,Harris LLC,52496397-563a-4bc6-b0f9-fde9f5c213fa,2024-10-13,2024-10-26
e025708e-3803-49cb-b025-7b2fab166e9c,bf31b918-c0c8-49d6-a237-4a92743e6f18,2024-10-05 19:07:14,usps,"Heath, Jones and Jackson",5910bc05-8ada-413e-8292-49aa44493536,2024-10-12,2024-10-13
a1999f8d-5165-41df-8ca9-9459a3b046d5,dcbde9b1-5786-40be-a654-4aca89afbabd,2024-10-06 01:26:03,usps,Chapman Group,52e324c9-5ee4-43e5-99a1-6fceb41e097d,2024-10-14,2024-11-04
17416ab1-7e4c-4bf1-a835-4549e810f684,e75f7de5-97d9-4336-8b96-5b2c9c5a3a6a,2024-09-25 18:17:37,in-store pickup,"Martinez, Nguyen and Williams",2a6ae30b-e54a-4a0b-bb25-1e548da873e1,2024-10-18,2024-10-22
deda817f-cd39-4f40-9f3d-1a51782b5d98,4fb20af1-dd3f-4c17-91c9-a710c1f9c580,2024-09-24 23:54:53,in-store pickup,"Park, Weaver and Jackson",12077961-bc84-4c03-958d-897fa3c03bad,2024-10-25,2024-10-13
ca985ffa-7864-44b2-9fa9-4cb793039c6a,c07f19f2-b8ee-432a-8be5-416901f2c701,2024-09-27 20:24:11,fedex,"Murray, Wilson and Norris",194d9d95-4929-4244-a26a-663fee9d5fe1,2024-10-18,2024-11-03
a8b53a96-51c1-4a75-8e3c-049b111fe78d,e3fb6ce6-5345-498f-b366-83c02e815e45,2024-09-21 21:39:38,ups,Fowler Inc,c7340dcc-4654-4e81-8504-63cabfe1d5d3,2024-10-25,2024-10-29
dc2bc16e-952b-426a-ab43-23b36d9e003d,493ca6a6-b04c-4b5b-ad9b-eb169162f95b,2024-10-07 06:21:29,ups,Rodriguez Ltd,0b81017d-19a9-4fe7-9062-5aabf5f6db6b,2024-10-14,2024-10-31
f0bf3591-2cb9-4a41-b9af-913fc5280b14,d8e235bb-4ab9-4eb7-8b15-6e4b646ede90,2024-09-20 20:24:33,usps,"Huerta, Anderson and Hill",cb857618-cfc1-4743-bf5e-ddfdf6077faf,2024-10-13,2024-11-03
98c62f79-5091-4f0e-a7a8-02469384e201,7866a170-92ae-4f69-99d9-a7f88eddfe33,2024-09-17 18:11:42,fedex,"Doyle, Jackson and Smith",976ca51e-d0ba-4771-8ffe-6ad1c9201ddf,2024-10-26,2024-10-21
00ba446c-e944-4e1a-ae50-353c56eba148,21b1ac98-b92b-43a8-80e2-75a7e8220c7f,2024-09-11 16:49:59,usps,Sutton-Smith,5eca0c0b-56f4-4e18-8e76-a6e852254c4e,2024-10-22,2024-11-04
734a5ba9-2201-4f2a-8e52-1f5a43565edc,54751148-ec10-4d05-9913-aedd6b078df8,2024-10-07 20:47:41,in-store pickup,"Bell, Frazier and Jackson",7bcfb721-54e1-450a-8685-eee61d5e34e3,2024-10-21,2024-10-23
ffb29ee4-39d6-42f6-9679-ed36671b9a21,5159227e-8be6-4ca5-b1a5-b6834e455489,2024-09-21 03:12:06,usps,Gallagher-Santiago,19c0f457-d671-498a-a825-7d1b5d68fbd3,2024-10-20,2024-10-25
7a72ff80-f4c8-4d55-928d-3c7d46d33fbc,637611c8-9c3a-4743-9305-3de8e0b5845a,2024-09-28 05:44:06,fedex,Delacruz Ltd,bd13bb99-4fba-4d91-be13-b9259c695edb,2024-10-25,2024-10-26
63c0af60-b996-404d-ab53-2f97e54be0e5,c1dcf27c-eaf3-4e39-9d71-e332310cb717,2024-09-27 12:54:52,ups,"Leon, Hill and Fitzgerald",5daead7b-5d7c-4dcb-a074-b332bf6b5110,2024-10-30,2024-10-17
e37b68bf-2f91-4b56-9f87-987309d40f46,6deb2304-e46e-4690-bc1b-f92cfd6e225c,2024-09-17 14:35:25,ups,"Peterson, Graham and Green",bf19c161-4d86-42df-b390-f9eb8ec407fd,2024-10-19,2024-10-28
c0554f68-a9b2-4e41-b7dc-cedd247d008c,a13b6e26-9816-4cb9-8e98-7a3b71fbe559,2024-09-28 23:47:23,ups,Willis Group,92ea454c-f0e3-486e-bf56-79fea78fd062,2024-10-21,2024-10-15
f37de10d-6b57-4170-b67e-ca23e34fd8be,7e0a429a-b656-48e8-a24f-77f0fde7882d,2024-10-02 02:30:34,fedex,Fernandez-Goodwin,e4f3a6ff-71f1-45c6-afbb-c4f68a8ef6e9,2024-10-12,2024-11-07
e5efea21-5313-408d-9e85-dd414feb6084,cf84a6c0-8128-4185-8e06-87df4c2030c1,2024-10-08 02:58:17,in-store pickup,Wallace-Holloway,822f377f-01e3-4123-b09a-628a5a65d724,2024-11-01,2024-10-22
17cb9011-8666-4052-8324-08cbfef681eb,4bc0e439-d292-4e77-8749-c114d5020577,2024-09-11 00:38:07,ups,"Johnston, Reed and Taylor",f5f455ba-b303-4d11-9503-c1756fc2b27a,2024-10-28,2024-10-28
bd58dd16-c4b4-47db-8351-eb2a2db7dfee,cfba3779-ae09-43b1-86ca-682fbc11b89c,2024-09-25 15:28:28,usps,"Nelson, Adams and Morales",02466691-a25f-4c15-b994-98d9a6342f52,2024-11-07,2024-10-30
4a99d973-7130-4ac2-b471-44045279b1d3,3dbc8fca-6925-4916-af34-73c25c21dc9d,2024-09-26 03:40:00,ups,Garcia-Hahn,ad5c0b26-355a-48d1-bcd5-6de41a02def7,2024-10-17,2024-10-24
5da32933-12d2-46de-aa12-ada43b6fbe80,53562f88-982f-4563-aa34-5ba3fbed7964,2024-10-04 06:10:12,fedex,Rogers-Palmer,f2707b76-f8fc-4f1c-945d-d9e529ea9b76,2024-10-10,2024-11-08
a21cf180-fd75-4ffa-a8fc-0b46c3479957,28c4e4d4-831e-4047-bb35-69c047c6af52,2024-09-27 18:03:04,ups,Hunter-Sanchez,2ebc3a7b-800d-47ff-8997-cb33b2ba081e,2024-10-29,2024-11-02
4d2c9f78-5cf3-455c-9b0b-d05e96277614,ecaf1d72-9fed-49c7-95c7-9637e661be74,2024-09-21 09:51:57,fedex,"Campbell, Boyd and Morgan",982ac102-ce79-45b0-81f2-0675b312d217,2024-11-02,2024-10-19
a6cc631b-144d-4cf5-bd1e-70434596b5c8,4b63765a-1b4e-4b7b-85f8-17c980465870,2024-09-21 22:31:22,ship to home,Ortega-Brown,5fc4b52d-9daa-46c3-9a66-6385b0ee12dd,2024-10-11,2024-10-13
8bc2ecd5-f885-4fe9-8d06-c012756eedef,8ddc962b-af4b-49d5-b5ae-fa3e509cbb0b,2024-10-05 14:52:46,ship to home,Boyd-Johnson,1e564b07-ee0f-4abe-96a0-f4b2c246d4cc,2024-10-24,2024-10-21
7bef9147-e510-43ed-a3ef-12f03642455a,ba61cf36-9aa3-4480-970f-ad52d7c05cda,2024-09-13 01:24:35,ship to home,"Martin, Moore and Johns",3f68aab1-1d67-437e-a49b-842af952a887,2024-11-07,2024-10-10
09d186be-79bd-4b1d-b793-c81927fe9a2e,8463cc11-1d4d-40d6-8134-daa73c751c3e,2024-10-07 13:23:15,ups,Pope LLC,749e4782-1bae-4fe2-b8ea-d5526beab4eb,2024-10-15,2024-10-27
99175209-a99d-404e-a5f6-68d83b25f947,c9731f03-8930-4c3b-b986-b31a5b4b1704,2024-09-30 02:15:58,in-store pickup,Parker PLC,c690b3e0-bd55-4ce1-9686-5ad12be80155,2024-11-05,2024-10-30
9757a6f4-ea1b-4ab4-adb4-2fa70aa3061f,4c696a61-0011-4574-95f8-3ffe4e744ae7,2024-09-13 14:02:31,in-store pickup,Perez Group,91acc1ff-9132-4a96-a94b-a7916a0890c5,2024-10-23,2024-10-22
05828f96-1195-4431-be55-cfc0a833bfa2,5f651042-b10f-435c-bc5e-05834c642915,2024-10-05 13:00:54,ship to home,"Kennedy, Morrison and Maldonado",fde1db50-1733-42a0-80ea-ce2b24485485,2024-10-23,2024-11-03
b8582af7-8fa3-4cf2-9b76-ad04a512a19f,d460e612-7283-499f-92fa-5a31aeeeb80d,2024-10-06 22:25:53,ups,Bennett-Acosta,31bc84d7-c0d1-4e6f-953d-f7cefd0fbe81,2024-11-06,2024-11-05
f162b62e-3421-4dfd-85b2-18cd01ab937d,6260c28b-d15f-40e5-a121-6606702d68fe,2024-10-10 16:23:25,in-store pickup,Davis-Hughes,0eab173f-503f-48b9-b1d8-2aaf8582962a,2024-10-31,2024-10-11
ab029e19-1d97-4278-bfbe-0f295da83487,e93a8338-00cf-4f3d-a4b9-84927b748ec1,2024-09-14 05:50:12,usps,Perry-Cummings,524e29be-6aa0-446f-944e-6300c3c04441,2024-11-08,2024-10-13
507863dd-f346-4c85-9847-b9d047e8ceb4,769ac508-c27c-4362-8ad7-e6f0b1e5e3bc,2024-09-19 12:48:01,fedex,Ross and Sons,7695c5e0-8b9b-493d-9106-ac30d82da746,2024-11-08,2024-10-16
80415f3b-ecf9-4224-99d1-9a3906c2b1f3,19d0e002-941b-49a1-859d-629aabc4143d,2024-09-29 17:50:42,ship to home,Meyer-Roberts,c7978934-3acc-416b-94a9-3a0ab2b7d853,2024-10-29,2024-10-15
dba966b0-08ab-4f4e-b411-80dea4645370,575324a8-d55b-45fe-ab64-1244a59e2b5d,2024-09-29 06:08:41,ups,"Hanna, Graham and Ray",3a541021-4b8f-43e0-ac1f-0e95c4dadd56,2024-10-16,2024-10-30
6c4ef32b-8aab-429c-a6f2-8737120f89f2,63231531-dd14-40de-a062-c4b5f0b75fb9,2024-09-20 09:33:43,fedex,Black PLC,25d223ae-73bb-44f3-945d-f77d005de3bf,2024-10-30,2024-10-18
d86acbce-3f63-41c3-bfed-5c18789a9523,e51361f1-cf51-4958-9bae-16f3a1cd117c,2024-09-22 18:10:55,ship to home,Harper and Sons,51337e03-f985-44a1-a255-0dff06d73560,2024-10-17,2024-10-25
c3911f2d-3e96-4491-8cce-6cead63df6b9,915c2d43-d5d8-4c0a-97ed-dc6fe625fa57,2024-10-08 03:55:29,in-store pickup,Brown-Murillo,52994425-2c38-42bd-83b0-434c97568bc1,2024-10-14,2024-11-04
9938e122-d3fc-44a8-8dc8-2a3f0262fff2,362b35ed-9653-46a3-a7c9-581875e260fd,2024-10-02 17:16:26,ups,"Williams, Ramirez and Drake",f402657a-d90b-4fd3-8f64-7fad12eadfd9,2024-10-26,2024-10-22
3211f05c-d169-45b0-a8dd-fae4ae912679,d55f032c-73e0-4354-93c5-84c2ffd71111,2024-09-14 13:58:23,usps,Ramos and Sons,a9729466-97a7-41e3-84bc-e2bf1265191a,2024-11-02,2024-11-07
d68883ae-cc15-44c3-b1e9-f9afcb07a2d8,3947b260-0b18-4af4-b41a-4270565eb995,2024-09-15 01:14:11,usps,Estes-Gonzalez,273eb58d-48b1-496c-bd70-e919a681c788,2024-10-23,2024-11-05
7ed43c45-2b9a-4683-b59a-30d1dd3f8e3e,3461eb0a-e820-4fa2-9afe-2476e708518c,2024-09-19 16:43:39,in-store pickup,Lawrence-Summers,cc8987ba-22f9-4d68-b82e-332febcdccad,2024-10-25,2024-10-13
732ca725-d522-486a-ae38-5be7e83f3dbb,7c8d6b50-5343-4fc1-a348-e15dca340a19,2024-09-20 02:46:35,ups,Collier-Allen,f966b0da-966f-411a-9f7a-6b9f76e8416c,2024-10-20,2024-11-01
2f472e55-ed24-48cc-8fd7-1da7cfcaea1c,650cdea1-df22-4c73-adbe-08999266b90f,2024-10-04 17:13:22,fedex,Wilson Group,22613185-5b6e-49bf-aa0d-ee9b16911ab0,2024-10-17,2024-10-29
887fd272-9b66-4bd4-9bc7-ba86c872d854,1e2fb6b7-8302-4448-8053-84f459f06ed4,2024-10-09 23:06:36,ups,Bishop-Weeks,76353c78-5d83-451f-8661-d0967e8c867f,2024-10-11,2024-10-10
76d69150-847f-460c-bb8c-1379b6e9b524,0c0891e2-4e1e-4875-a53d-b0ded78b07cf,2024-09-21 11:11:26,in-store pickup,Lutz-Brown,ea6e6b47-85f1-4758-ae2e-2f93eba18b58,2024-11-08,2024-10-10
d7a5f8d9-c252-4b55-aee0-6d1db6f50c90,80c95fd9-e585-42a0-8c27-96ce4ecc791b,2024-09-22 20:41:20,in-store pickup,Norton Group,3027205b-cc39-44bd-bd74-48f017c0aee4,2024-10-18,2024-10-19
c80a8570-aec4-4e81-86ac-927d39614f86,5d170b56-e0a1-4247-a75f-35074ce0d882,2024-10-08 04:00:03,ship to home,"Haney, Hale and Miller",08a52e38-d39c-4430-a312-1f1e60d9f30d,2024-10-27,2024-10-15
c8a916e0-3866-4a68-9c08-875c21d67aff,6dfeaf89-0025-4ec3-bea0-7c37179cc97f,2024-09-19 15:18:22,usps,Nelson-Harris,c3569623-6be0-4854-9830-3052cc9af240,2024-11-03,2024-10-28
063e5b47-158a-4c84-9a8a-054a13045161,adad0df0-84b5-4eba-aaa0-c09ad16426f4,2024-10-06 10:54:18,ship to home,Howell and Sons,6969e438-8fc4-4d5d-8845-e64c0e95f4a7,2024-10-19,2024-11-06
216408c1-637f-4fa4-9087-4fb54b7cb4c1,e630585e-944b-4a62-aec9-614bd20b79cf,2024-09-25 06:55:19,ups,Torres-Miller,c5c5cae7-d741-4790-b322-cd4dc9a69c2f,2024-10-24,2024-11-02
24e93879-73e1-474f-b849-dddb95b072b6,16af33d0-ef57-4fed-864f-9524b3c213e4,2024-10-08 18:27:31,usps,Leonard-Jensen,fcea7e8f-a1ab-4842-8faf-e770e8d23b2c,2024-10-30,2024-10-20
c2e2866f-8288-4282-acce-cb6566d9fa5e,89c2fba0-38d3-43af-85e8-750480ac50ca,2024-09-16 06:23:43,usps,"Woodward, Griffin and Watson",e939c7f2-f799-4362-af38-6ba630ab307f,2024-10-13,2024-10-12
8bef65d4-3294-4c8a-a9ed-fb33e7854b75,c1db4d63-78f8-49e9-8eaf-3349fd987176,2024-09-27 09:49:16,ups,"Greene, Castro and Ford",e2a53d1c-7ceb-4411-9517-d7a6e741ef0a,2024-10-15,2024-10-28
9e4ab816-bfef-4ea0-8b72-bda28dbc91fd,81c7b89d-f293-48b4-b97d-54bc6bc61821,2024-10-02 11:09:49,usps,Willis-Lewis,81f62cb6-fc4e-40d8-a053-91901bf9f398,2024-10-11,2024-10-16
616b3597-6ddd-4edc-9475-974d67e90a47,c18412e6-e1fd-4cc2-8bf0-78f216c9c831,2024-09-11 13:59:10,usps,Patel Ltd,86a9fc50-3190-473d-9c6a-c825ce563b35,2024-10-16,2024-10-12
2c2cd6c9-6a5a-4dd1-8b52-44a85fb37ac0,d00640eb-0ec5-4191-8638-3cb6355c8eec,2024-09-18 04:45:53,in-store pickup,Nichols Ltd,3fb39b0f-45de-457f-8dfc-dbf5b6a7a864,2024-10-31,2024-10-23
61f856e4-9cc2-4cd2-ab82-20e3cc4b5956,b1478cc1-324a-4396-8340-a868972225d0,2024-09-10 21:03:03,ups,Davenport-Sloan,8a4a2aa6-a4a9-40e1-a168-2d1607195b78,2024-10-23,2024-10-10
78a24e6d-be57-48b5-b11e-86c16ccbeb1c,af42e8ee-795a-4d56-a3f5-3253055cf701,2024-09-14 08:00:05,ups,Huffman LLC,726c6316-0027-4d77-91a7-90dd19b6dcdb,2024-10-12,2024-10-25
b295d2ea-1d54-416c-8c26-4d1558ee4af2,65ba6b46-4480-4d63-a3c4-16b66090ff5a,2024-09-11 11:13:20,fedex,Ross-Page,ce89e918-34c7-46ef-aa31-45a9db4a2eaf,2024-10-25,2024-11-07
4f1d62fe-7885-4246-9994-aa1fef7a074f,cad06041-76e1-4f5a-b3d6-0e621069aa0e,2024-09-26 20:55:18,usps,Horton-Fleming,4a9edd6f-d167-4c24-b0d0-725591a5597b,2024-10-30,2024-11-01
e9a37124-791e-4dfe-aa8a-209a8d3a7cd2,98975345-490f-44e1-b3ac-0795112281e9,2024-09-17 13:38:23,in-store pickup,Morris-Guzman,e7da8a66-a9fb-43cf-9e7b-089650afe7c4,2024-10-24,2024-10-15
4a69d2d6-4921-49a6-86fa-355a4006c4dc,f19bbae5-2d6a-48c4-a901-d345dcd03d1e,2024-09-25 13:07:15,usps,Gutierrez-Morrison,f579ab37-a7c9-483a-9898-d5a1110d7234,2024-10-27,2024-10-28
5feec049-7220-49b4-8c07-931965a1a66c,034e410b-4158-4556-96b3-6963cfcad663,2024-10-03 08:13:34,ship to home,Cooper-Ryan,fc210aec-6082-4135-95b0-c8af058a6a26,2024-10-17,2024-10-16
d9f69619-4801-4181-a26a-d75885944674,66d9fc9d-f2f1-4fd0-900c-733e3b84a196,2024-10-02 20:13:40,fedex,Mathis-Barrett,de935ba7-bd8a-4f24-b587-411050d691ba,2024-10-31,2024-11-07
2396e8f0-7c20-454b-b141-3dbe72d77f7f,2a31c5f2-756b-4101-9ba8-a82fa672e317,2024-09-18 11:31:31,in-store pickup,Best Group,6c555c0c-c80b-4905-9aaa-b11f999bd6a6,2024-10-29,2024-10-11
fe415948-388e-4b16-aebc-0597738921dd,536a9f30-192b-4717-96f2-df38f0aaf5a9,2024-10-03 13:11:54,usps,Tucker Ltd,e63250ca-0b1e-4043-a3aa-3d5edd68c917,2024-10-13,2024-10-17
